scene,role,roi,condition,arm,n_rows,n_source,n_output_eval,n_reference,source_MSE_mm2,source_MAE_mm,source_p95_mm,improved_fraction,harmed_fraction,unchanged_band_fraction,benefit_sum_mm2,harm_sum_mm2,accepted_fraction,moved_fraction,move_RMS_mm,lost_source_fraction,E_sym_mm,accuracy_mm,completeness_mm,precision_1mm,recall_1mm,fscore_1mm,p95_mm,status
40,adaptation,scan40_roi0,plus3,random_A_keep,42123,42073,22715,126727,2.3652883036224104,1.3446615020848112,2.5235542813714775,0.06457823307109073,0.05972951774297055,0.8756922491859387,6000.899823717834,9949.574078811267,0.13470075730598485,0.13465327730693447,1.0665945832235428,0.01891949706462577,14.775623806558771,1.3503866620228548,28.200860951094686,0.24921857803213734,0.09370536665430414,0.13619998599350694,2.5702124614965465,SCORED
40,adaptation,scan40_roi0,plus3,A_fit_reserved,42123,42073,20622,126727,1.8793721865307278,1.174674611449513,2.2966112843623994,0.11437263803389347,0.0128823711168683,0.8727449908492382,20492.193513882856,3996.918974577915,,0.12940673741186526,1.0808664985711867,0.018539205666341835,14.952377124857525,1.1704342210441046,28.734320028670947,0.31776743283871595,0.08085885407213932,0.12891428049013776,2.3635063016469853,SCORED
40,adaptation,scan40_roi1,native,identity,44513,44504,21863,81439,0.24603245911646512,0.412682520287902,0.6441583591553973,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.545297350995487,0.4327955042425456,16.657799197748428,0.9804692860083246,0.37737447660211937,0.5449877133441556,0.6521766479918858,SCORED
40,adaptation,scan40_roi1,native,A_all,44513,44504,21405,81439,0.5915562693600156,0.6097793579012978,1.2617137603791344,0.13529120977889628,0.51730181556714,0.3474069746539637,1988.0078841410693,17365.19953522004,1.0,0.998112910835037,2.730358285892115,0.011414704296243035,8.594877585314842,0.611359484515667,16.578395686114018,0.8874094837654753,0.3489974091037464,0.5009736073689168,1.254152719492507,SCORED
40,adaptation,scan40_roi1,native,B_all,44513,44504,20842,81439,0.4862255712152778,0.5412522966422711,1.0861667288573382,0.162052849182096,0.439061657379112,0.39888549343879204,2235.494849485512,12925.049110331074,1.0,0.9940466829914857,2.279262334894111,0.005437713463958296,8.550299514914826,0.5499345840736045,16.55066444575605,0.9323961232127435,0.3602082540306242,0.5196590473005198,1.107739286716811,SCORED
40,adaptation,scan40_roi1,native,post_A_keep,44513,44504,21748,81439,0.2700194011005866,0.42617942444270535,0.7045584232741889,0.02139133561028222,0.05473665288513392,0.9238720115045839,189.97930361090715,1257.4941696722497,0.12506458787320557,0.124907330442792,0.7074636378468202,0.00020222901312241597,8.55000927165041,0.44678261267457886,16.65323593062624,0.9764576052970388,0.37518879161089896,0.5420884483231024,0.7145783393477907,SCORED
40,adaptation,scan40_roi1,native,post_AB_keep,44513,44504,21643,81439,0.2837546599873773,0.43824579788981083,0.7673107288211438,0.04649020312780874,0.11219216250224699,0.8413176343699442,455.60945690441827,2134.3982844634943,0.2527351560218363,0.2525554332442208,1.0815930477424442,0.0003595182455509617,8.55726276420266,0.4590479821510994,16.65547754625422,0.9736635401746523,0.3731872935571409,0.5395680832542751,0.7770765538666909,SCORED
40,adaptation,scan40_roi1,native,random_A_keep,44513,44504,23390,81439,0.29359790812943626,0.43841513643712654,0.7929775509983576,0.016605248966385044,0.06624123674276469,0.9171535142908502,231.4448909338191,2348.2976338070885,0.12506458787320557,0.12481746905398423,0.9776744919810512,0.001235843969081431,8.515184966905771,0.47183307819367276,16.55853685561787,0.9607524583155195,0.37786564176868576,0.5424031607213434,0.8833392966433717,SCORED
40,adaptation,scan40_roi1,native,A_fit_reserved,44513,44504,21811,81439,0.3345066292426972,0.4579398962696974,0.8897307345516015,0.019683623943915155,0.10457486967463599,0.8757415063814489,259.58523012869466,4197.039697426529,,0.1752521735223418,1.3423755334863585,0.0022020492539996405,8.550461980739081,0.4674397317550856,16.633484229723077,0.961258080784925,0.3699333243286386,0.5342603565445919,0.8997062844148128,SCORED
40,adaptation,scan40_roi1,minus1,identity,44513,44504,21772,81439,0.2667189438938193,0.4403895858766173,0.8540385043606405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00017975912277548085,8.632914056251167,0.44106913553319954,16.824758976969132,0.9819033621164799,0.3429069610383232,0.5083014406694519,0.855491745210379,SCORED
