phase,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,surface_mae_mm,matched_rms_mm,balanced_source_mae_mm,worst_source_mae_mm,coverage_1mm,model_k,slope_error,slope_angle_deg,single_false_split,alpha,beta,assignment_error,fitted_gap_mm,fitted_perpendicular_gap_mm,source_gap_from_assignment_mm,source_gap_from_slope_mm,fitted_gap_error_mm,source_gap_mm,source_gap_error_mm,source_gap_relative_error,gap_identity_error_mm,balanced_midplane_crossing,counterfactual_source_gap_mm,counterfactual_geometry_mse_mm2,assignment_delta_mse_mm2,geometry_assignment_cross_mm2,total_mse_mm2,decomposition_error_mm2
development,s9161111_g8_n2_l1,9161111,8.0,2.0,adaptive_bic,OK,8.429872236003575,1.0,L,0.0427430889789804,0.291714227961745,0.05304839887661928,0.056271536089599915,0.9986979166666666,2,0.07868963082803691,0.09017160031145961,,0.0,0.0026041666666666665,0.0013020833333333333,8.001226607375013,8.001216698581574,7.980390079751642,0.05757304778994883,0.0012266073750133444,8.03796312754159,0.03796312754158926,0.004745390942698657,1.7763568394002505e-15,0.0013020833333333333,8.058799655164961,0.0026548501643099353,0.08335888961271597,-0.0009165489817089989,0.08509719079531691,3.903127820947816e-18
development,s9161111_g8_n2_l1,9161111,8.0,2.0,adaptive_cv,OK,8.429872236003575,1.0,R,0.042075745119833974,0.29176195981857667,0.05239534326883577,0.055254692642622505,0.9986979166666666,2,0.07417057249904932,0.08499315302258117,,0.0,0.0026041666666666665,0.0013020833333333333,8.00979646232092,8.00978764951874,7.98893761736696,0.04965605856307691,0.009796462320920796,8.038593675930038,0.03859367593003782,0.004824209491254727,0.0,0.0013020833333333333,8.059452520883998,0.0025693318950533177,0.08353755126016764,-0.000981841958044192,0.08512504119717675,1.8648277366750676e-17
development,s9161111_g8_n2_l1,9161111,8.0,2.0,constant_only,OK,8.429872236003575,1.0,C,1.465856258164526,1.8617085815868548,1.5029813674896317,1.54056010749418,0.3958333333333333,2,4.994305772775194,5.704132565915812,,0.4010416666666667,0.3359375,0.36848958333333337,3.8975712506076583,3.878272051415539,1.0251424383108683,6.033585626267388,4.102428749392342,7.0587280645782595,0.9412719354217405,0.11765899192771756,3.552713678800501e-15,0.024739583333333336,9.931156876875049,4.069070119127404,5.597747979112534,-6.200859255485799,3.465958842754139,0.0
development,s9161111_g8_n2_l1,9161111,8.0,2.0,linear_only,OK,8.429872236003575,1.0,L,0.0427430889789804,0.291714227961745,0.05304839887661928,0.056271536089599915,0.9986979166666666,2,0.07868963082803691,0.09017160031145961,,0.0,0.0026041666666666665,0.0013020833333333333,8.001226607375013,8.001216698581574,7.980390079751642,0.05757304778994883,0.0012266073750133444,8.03796312754159,0.03796312754158926,0.004745390942698657,1.7763568394002505e-15,0.0013020833333333333,8.058799655164961,0.0026548501643099353,0.08335888961271597,-0.0009165489817089989,0.08509719079531691,3.903127820947816e-18
development,s9161111_g8_n2_l1,9161111,8.0,2.0,old_constant64,OK,8.429872236003575,1.0,C,1.465856258164526,1.8617085815868548,1.5029813674896317,1.54056010749418,0.3958333333333333,2,4.994305772775194,5.704132565915812,,0.4010416666666667,0.3359375,0.36848958333333337,3.8975712506076583,3.878272051415539,1.0251424383108683,6.033585626267388,4.102428749392342,7.0587280645782595,0.9412719354217405,0.11765899192771756,3.552713678800501e-15,0.024739583333333336,9.931156876875049,4.069070119127404,5.597747979112534,-6.200859255485799,3.465958842754139,0.0
development,s9161111_g8_n2_l1,9161111,8.0,2.0,old_spatial36,OK,8.429872236003575,1.0,R,0.04207572756169933,0.29176188541125425,0.05239532044225993,0.055254829458833594,0.9986979166666666,2,0.07417192424407383,0.08499470200487022,,0.0,0.0026041666666666665,0.0013020833333333333,8.009792530141272,8.009783717022193,7.988933695427363,0.04965936829110224,0.009792530141272238,8.038593063718466,0.038593063718465714,0.004824132964808214,0.0,0.0013020833333333333,8.059451898432373,0.0025693301937403552,0.0835374692394621,-0.0009818016544725942,0.08512499777872988,1.6479873021779667e-17
development,s9161111_g8_n2_l1,9161111,8.0,2.0,rbf_only,OK,8.429872236003575,1.0,R,0.042075745119833974,0.29176195981857667,0.05239534326883577,0.055254692642622505,0.9986979166666666,2,0.07417057249904932,0.08499315302258117,,0.0,0.0026041666666666665,0.0013020833333333333,8.00979646232092,8.00978764951874,7.98893761736696,0.04965605856307691,0.009796462320920796,8.038593675930038,0.03859367593003782,0.004824209491254727,0.0,0.0013020833333333333,8.059452520883998,0.0025693318950533177,0.08353755126016764,-0.000981841958044192,0.08512504119717675,1.8648277366750676e-17
development,s9161121_g0_n1_l0,9161121,0.0,1.0,adaptive_bic,OK,7.68733620900457,0.0,S,0.04064328339642669,0.049496929398624795,0.04064328339642669,0.04064328339642669,1.0,1,0.07388791180787661,0.08466924843985454,0,,,,,,,,,,,,,,,,,,,
development,s9161121_g0_n1_l0,9161121,0.0,1.0,adaptive_cv,OK,7.68733620900457,0.0,S,0.04064328339642669,0.049496929398624795,0.04064328339642669,0.04064328339642669,1.0,1,0.07388791180787661,0.08466924843985454,0,,,,,,,,,,,,,,,,,,,
development,s9161121_g0_n1_l0,9161121,0.0,1.0,constant_only,OK,7.68733620900457,0.0,S,0.04064328339642669,0.049496929398624795,0.04064328339642669,0.04064328339642669,1.0,1,0.07388791180787661,0.08466924843985454,0,,,,,,,,,,,,,,,,,,,
