status,n_output_raw,n_output_roi,n_output_eval,n_laser_eval,accuracy_mm,completeness_mm,accuracy_p95_mm,completeness_p95_mm,precision_1mm,recall_1mm,fscore_1mm,E_sym_mm,coverage_laser_points,voxel_mm,arm,roi_id,seconds,ply_sha256,kind,scene_id
SCORED,27052,26111,25551,34709,0.7308220482556297,0.9119182122016342,2.352578492207298,2.496279040571506,0.8010254001800321,0.7774928692846236,0.7890837233921312,0.8213701302286319,34709,0.8,identity,scan37_driver_handle,0.2379485669953283,a8daf2f1c21cd1715d9c2ace2e69b98d4278bfeaba50623cd294fba4c75c1b97,structure,37
SCORED,8137,5969,5669,34709,3.9699151176527554,3.0120227862831492,17.590493022266326,6.666549681220527,0.34291762215558297,0.12011293900717393,0.17790982664740623,3.490968951967952,34709,0.8,fusion_wta,scan37_driver_handle,0.21013477399537805,0aa97966aa28caf3acc2f8e88ef69abb6c8aa7af8028ce27818a14f13f08e3e4,structure,37
SCORED,4633,4535,4348,34709,2.740730571473905,12.588640109079464,8.211979571743623,40.98286952804212,0.42065317387304507,0.09844708865135844,0.15955330131549736,7.664685340276685,34709,0.8,restricted_single,scan37_driver_handle,0.32454615499591455,8821754001d8c2e7603a3f7326d4983c76ca10389357cc6270af2d77e3d4dbee,structure,37
SCORED,27052,25293,2647,34709,0.9465453420853023,2.679355191216509,2.922209534629105,5.556596845866904,0.7121269361541368,0.13520988792532196,0.22726878022941793,1.8129502666509056,34709,0.8,restricted_point_move,scan37_driver_handle,0.1976302080001915,d5074b99ef013024deb946f17142d0bd7f0184392cf77866bee45b8789a1bfbf,structure,37
SCORED,22161,15115,13962,34709,4.370403992640985,7.434617387633349,15.917278347728898,29.282401665199764,0.22675834407677983,0.1418940332478608,0.17455824507175824,5.9025106901371664,34709,0.8,v25_atlas,scan37_driver_handle,0.3200071589963045,4986fc870b3295c7b3680b7fecab44ae48d3b7c5f47d78b88498fbcb967d622b,structure,37
SCORED,14461,9918,9622,34709,3.721409831966608,6.805443026800703,13.963703226971484,22.94351017939069,0.29089586364581166,0.13869601544268056,0.18783454325085344,5.263426429383656,34709,0.8,v25_wta_atlas,scan37_driver_handle,0.2701511440027389,31ff3331831a378c0cf4ffc8fa06308bbe701bf4f56b6996cb10a94d122bec46,structure,37
SCORED,4172,3406,3389,34709,1.5948226698959096,7.346445199163628,4.847821302386487,21.474434043840827,0.5036884036588964,0.09133077876055201,0.15462444075087917,4.4706339345297685,34709,0.8,v25_depth_cc,scan37_driver_handle,0.19667169199965429,1deb42fa1a1e7660ae0dc58bf1a522212145860343bd22b2aaf0599684031f03,structure,37
SCORED,27052,25249,15100,34709,0.7939554596294021,1.652737763435841,2.542336334842436,5.5383271223127215,0.7709933774834437,0.5226022069203953,0.6229502410980265,1.2233466115326215,34709,0.8,v25_gated_move,scan37_driver_handle,0.2145597050039214,0e67c7bb5c3cf0d0637d0b635ccddd4203edf949b84df75b6dca1cff4367c79f,structure,37
SCORED,3417,3372,3012,3977,0.7351327944427558,0.4306057294487713,3.4632680848881874,0.6786444878814043,0.8675298804780877,0.9984913251194367,0.9284150226598278,0.5828692619457636,3977,0.8,identity,scan37_stone_control,0.13025019499764312,52966b19713529f109b50fa3f375ae294e5305f05726d6e0f0c039be72ce9c3f,control,37
SCORED,4039,3550,3403,3977,3.024525287147116,0.7230634056733928,16.1346645653235,1.476845680049083,0.5706729356450191,0.828262509429218,0.6757524078826942,1.8737943464102544,3977,0.8,fusion_wta,scan37_stone_control,0.13157697999849916,35e9fa75acad41e9546d38f357fbfea985364882bce1d036e255e0e8f72a3676,control,37
SCORED,2442,2244,2148,3977,2.3171394288833973,4.722424661851314,8.764249488000766,18.27643741822885,0.5768156424581006,0.5260246416897159,0.5502505594080702,3.519782045367356,3977,0.8,restricted_single,scan37_stone_control,0.14037466300214874,6b5fad55741c0d0079e2adb0119e41b0e60ab34f4bb689e7b90a9b70d8f849bc,control,37
SCORED,3417,3395,1502,3977,0.6292281577077157,0.7266051228973409,1.8140811436622213,1.4142777587774922,0.9254327563249002,0.8433492582348504,0.8824863913907387,0.6779166403025283,3977,0.8,restricted_point_move,scan37_stone_control,0.1444549139996525,6d720f5306af2e51295af6d4234c3daa9b3f2599e67fc782a80a4e2221f5952a,control,37
SCORED,7423,5865,5511,3977,4.64029626295838,0.593177378935343,16.385609957945455,1.2565969791663185,0.37506804572672836,0.8946442041740005,0.528548816169209,2.616736820946861,3977,0.8,v25_atlas,scan37_stone_control,0.1552334830048494,958bb0a7eeea1865c822cef97a3cdd81c783a7339465d801ca030d598a25fb65,control,37
SCORED,6570,5245,4881,3977,4.0892293329353935,0.6466449310222359,15.661229317641817,1.3104384560894204,0.41446424912927676,0.8682423937641438,0.5610876559926912,2.3679371319788145,3977,0.8,v25_wta_atlas,scan37_stone_control,0.1303243319998728,0dfa7413b96624e2ceda71fb42577f2fb6ce0274b68be0960e382729cafb9dbf,control,37
SCORED,2618,2566,2481,3977,0.9876605591001237,0.8300119430774981,3.2363957997628123,1.8607821939698417,0.7178557033454253,0.7465426200653759,0.7319181796878232,0.9088362510888109,3977,0.8,v25_depth_cc,scan37_stone_control,0.1281152680021478,3de88ae11ac7925eca023bbe481e369ee9cc6c6f461dcc15705efd00590871fd,control,37
SCORED,3417,3371,3010,3977,0.7342130356587518,0.43060300542243934,3.4204327161930297,0.6786444878814043,0.8677740863787375,0.9984913251194367,0.928554847637717,0.5824080205405956,3977,0.8,v25_gated_move,scan37_stone_control,0.1240125199983595,79555ededdb8d66e7b3c40b1b6cdbcf0309b86ea88b28b22069e2c568e9999cb,control,37
SCORED,21007,21007,19764,36776,0.2843065141036951,0.4227982938878431,0.5291174876439121,0.8341708455819107,0.9916514875531269,0.9741407439634544,0.9828181252829629,0.35355240399576915,36776,0.8,identity,scan24_window_left_core,0.22104459299589507,f46f5262010509167a372add406e13bc1e83042163cf3e1f36676acd2f03f9f7,structure,24
SCORED,10592,9687,9499,36776,2.4219158918543924,1.6543945511052482,15.020192653697684,4.279629185376655,0.744604695231077,0.371329127691973,0.49553729132658264,2.0381552214798204,36776,0.8,fusion_wta,scan24_window_left_core,0.23795735299790977,f4085295e7367939640035bd171215bff4e9bf9aa1e0649d79229bd5e8c3ea8a,structure,24
SCORED,4890,4322,3981,36776,1.0389729215910872,31.607024716109144,3.1401292582025864,83.96838899555905,0.816377794523989,0.20344790080487274,0.3257230119232452,16.322998818850117,36776,0.8,restricted_single,scan24_window_left_core,0.4463028270038194,e152d6da2676faf9af651f3864223340ad971ba5552d2f8709a25f11cee9cd3f,structure,24
SCORED,21007,20954,5629,36776,0.5048646880428115,1.6396483129484873,1.0359213750708245,4.1783902670833415,0.9417303251021496,0.36589079834674787,0.5270188043003634,1.0722565004956495,36776,0.8,restricted_point_move,scan24_window_left_core,0.21820061199832708,b279c2863bc07fe909ed089ad51cce9c0f9cb1c876d8762289052ef29b777fba,structure,24
SCORED,19513,18404,16857,36776,1.3207516223245979,0.8715807505430339,6.094503246796752,2.4540765651158525,0.7414130628225662,0.7609310419839025,0.7510452666990393,1.096166186433816,36776,0.8,v25_atlas,scan24_window_left_core,0.23288367199711502,10758fe60ca35d161fa44e21411e182e7e8217577be207182a7db947488eee1b,structure,24
SCORED,18704,17747,16150,36776,1.1334218241934666,0.9453750330847002,2.797762471126849,2.7548412676480964,0.7103405572755418,0.7381444420274091,0.723975649802265,1.0393984286390834,36776,0.8,v25_wta_atlas,scan24_window_left_core,0.22545026199804852,ddc73f08a00066c1e5d46a3497c64d63899fd83a1eddfdbceb16611ed8e761ce,structure,24
SCORED,7987,7934,6534,36776,0.6289861439430181,5.112494462921011,1.531992629648469,22.443580340170588,0.8420569329660239,0.3276593430498151,0.4717517010295128,2.8707403034320143,36776,0.8,v25_depth_cc,scan24_window_left_core,0.2264764589999686,e002ee3b4ee1cfab9b52e188e42e77e9bc4ac37251b06cd30b3fd7d6a7f69954,structure,24
SCORED,21007,20954,17543,36776,0.30632575356490205,0.6170301478989899,0.5983180462984724,1.943279377154009,0.9838682095422676,0.8847074178812269,0.9316567019551408,0.46167795073194595,36776,0.8,v25_gated_move,scan24_window_left_core,0.22123677499621408,5fcc65375cdb85a32d370e8a63f7ae513425d4e4b59f93fb4975fe9eb13d87e8,structure,24
