case,phase,method,status,n_input,n_reference,accuracy_mm,p95_mm,completeness_mm,precision,recall,fscore,displacement_rms_mm
s37_confirm10,confirmation,apss2,OK,670,3414,0.2240178684170525,0.37111010367705455,0.4456505723240292,1.0,0.9958992384299942,0.9979454065159965,0.022099449810706644
s37_confirm10,confirmation,rimls2,OK,670,3414,0.2245523399467059,0.37830140790680344,0.44623016253609493,1.0,0.9956063268892794,0.9977983267283135,0.021469115890093458
s37_confirm10,confirmation,local_plane64,OK,670,3414,0.21673229292040774,0.3478162130686838,0.4412957183459056,1.0,0.9958992384299942,0.9979454065159965,0.10722823459085565
s37_confirm10,confirmation,quadratic64,OK,670,3414,0.2234168664934501,0.3701056078927627,0.4464351196501784,1.0,0.9958992384299942,0.9979454065159965,0.059373306060720166
s37_confirm10,confirmation,multiscale_full,OK,670,3414,0.2228030747746311,0.3639899262665501,0.44632573885530974,1.0,0.9956063268892794,0.9977983267283135,0.05674302271444494
s37_confirm10,confirmation,multiscale_consensus,OK,670,3414,0.22329704375981513,0.3634677140188806,0.44611533166429573,1.0,0.9958992384299942,0.9979454065159965,0.043033069694025074
s37_confirm10,confirmation,multiscale_matched,OK,670,3414,0.22311534728817872,0.36320592737632235,0.446200703007439,1.0,0.9958992384299942,0.9979454065159965,0.04303306969402489
s37_confirm11,confirmation,identity,OK,724,4019,0.4538391067615118,2.0350018355254664,0.39474583625574977,0.856353591160221,0.9990047275441652,0.9221952195367722,0.0
s37_confirm11,confirmation,v18,OK,724,4019,0.4541101845823689,1.8987116878348476,0.3760879064083821,0.8453038674033149,0.9977606369743718,0.9152267033236693,0.3974053778861016
s37_confirm11,confirmation,apss2,OK,724,4019,0.45305846680422107,2.033530428112817,0.39540777696310503,0.8549723756906077,0.9990047275441652,0.9213937364645264,0.019783679305307583
s37_confirm11,confirmation,rimls2,OK,724,4019,0.45439730321725313,2.0338742715061207,0.39663812571901824,0.8549723756906077,0.9990047275441652,0.9213937364645264,0.020324795465939266
s37_confirm11,confirmation,local_plane64,OK,724,4019,0.43635452490533905,2.009629461951714,0.3871252937901294,0.8660220994475138,0.9990047275441652,0.9277723612172466,0.12440799868349793
s37_confirm11,confirmation,quadratic64,OK,724,4019,0.4528588263493806,2.0550001876364434,0.3949854731090236,0.856353591160221,0.999253545658124,0.9223012191806295,0.04557253724623177
s37_confirm11,confirmation,multiscale_full,OK,724,4019,0.45290569010802983,2.054868701514583,0.39542685370816366,0.856353591160221,0.999253545658124,0.9223012191806295,0.044435950042958215
s37_confirm11,confirmation,multiscale_consensus,OK,724,4019,0.45290013208349095,2.053580202766122,0.3954161745907398,0.856353591160221,0.999253545658124,0.9223012191806295,0.03237155833140624
s37_confirm11,confirmation,multiscale_matched,OK,724,4019,0.45298703098674387,2.0527877674557757,0.39522972033127035,0.8549723756906077,0.999253545658124,0.9214995519285607,0.03237155833140603
s37_confirm12,confirmation,identity,OK,591,1323,0.3471179159805933,0.8315055281325812,0.3780506156168165,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.0
s37_confirm12,confirmation,v18,OK,591,1323,0.5837509626072511,1.001330706211958,0.6764449202699403,0.9475465313028765,0.8291761148904006,0.8844182328479485,0.5943532642542931
s37_confirm12,confirmation,apss2,OK,591,1323,0.3461247218981906,0.8313968127779257,0.37756100548265,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.022712551967537273
s37_confirm12,confirmation,rimls2,OK,591,1323,0.34626436522091364,0.8299603218692817,0.37758595539749107,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.022187975953498945
s37_confirm12,confirmation,local_plane64,OK,591,1323,0.36256690391542534,0.8602221363455151,0.39315192429484197,0.9678510998307953,0.9508692365835223,0.9592850182038268,0.14262685339377038
s37_confirm12,confirmation,quadratic64,OK,591,1323,0.3411075621627593,0.8286623526636872,0.37212703162540967,0.9644670050761421,0.9531368102796675,0.9587684353534605,0.06717402867534672
s37_confirm12,confirmation,multiscale_full,OK,591,1323,0.3410709818651536,0.8291347326349214,0.37209499270830004,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.06341951159556256
s37_confirm12,confirmation,multiscale_consensus,OK,591,1323,0.34270229568890576,0.8292851195050998,0.37384819543204745,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.0453644733551216
s37_confirm12,confirmation,multiscale_matched,OK,591,1323,0.34220480460851915,0.8297365175027605,0.3736173495724965,0.9644670050761421,0.9523809523809523,0.9583858764186632,0.04536447335512106
s37_confirm13,confirmation,identity,OK,663,1727,0.25920987691577063,0.43719902443932196,0.3585753886531115,1.0,0.9988419224088014,0.9994206257242179,0.0
s37_confirm13,confirmation,v18,OK,663,1727,0.24809711057983383,0.40404938170786575,0.34671578510594786,1.0,1.0,1.0,0.1337903849060489
s37_confirm13,confirmation,apss2,OK,663,1727,0.2575479869217106,0.4371736035407909,0.35892261991323743,1.0,0.9988419224088014,0.9994206257242179,0.022120634295827245
s37_confirm13,confirmation,rimls2,OK,663,1727,0.258897531570182,0.4438600228970263,0.35988676967884625,1.0,0.9988419224088014,0.9994206257242179,0.021627065091644054
s37_confirm13,confirmation,local_plane64,OK,663,1727,0.2516596516913888,0.4285699367505839,0.35697707225647474,1.0,0.9976838448176027,0.9988405797101448,0.11687556583574273
s37_confirm13,confirmation,quadratic64,OK,663,1727,0.25334445575679687,0.4259233867054917,0.35652111657187935,1.0,0.9994209612044007,0.9997103967564437,0.05986683797304961
s37_confirm13,confirmation,multiscale_full,OK,663,1727,0.252500195594241,0.4240517678198735,0.3559092800182614,1.0,0.9988419224088014,0.9994206257242179,0.056941458071678365
