phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,bias,retain,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,retained_map,OK,1.8522262789992965,4,0.25,L,True,0.09811683184649046,0.1530362652431953,0.5052177222426504,0.9906542056074766,2,0.0,2.073892408874134,0.07389240887413395,2.067261064472199,0.06726106447219893
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,retained_mean,OK,1.8522275799987256,4,0.25,L,True,0.10062619647705286,0.15440490829154163,0.5060316198439527,0.9906542056074766,2,0.0039917013465144355,2.065583269001687,0.06558326900168687,2.067261064472199,0.06726106447219893
bridge,bridge,s9182101_g2_n0.5_b4_r0.25,9182101,2,0.5,v17_map,OK,1.8522254349954892,4,0.25,,True,0.09811683184649046,0.1530362652431953,0.5052177222426504,0.9906542056074766,2,0.0,2.073892408874134,0.07389240887413395,2.067261064472199,0.06726106447219893
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,identity,OK,4.154595690997667,4,1.0,,True,3.1996791691570983,3.413069915326849,4.02457112878917,0.1640625,,,1.8127191687204516,0.18728083127954842,,
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,old_spatial36,OK,4.15460118700139,4,1.0,,True,0.14468080226829125,0.16241195823827353,0.8780449138816145,0.97265625,2,0.0,1.887327085345797,0.11267291465420293,1.9920906241991785,0.007909375800821516
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,retained_half,OK,4.154604385999846,4,1.0,L,True,0.14586638438715074,0.16352689761401737,0.8779804138592512,0.97265625,2,0.002390151934592347,1.8839184954832726,0.11608150451672739,1.9889936872876803,0.011006312712319666
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,retained_map,OK,4.154603401002532,4,1.0,L,True,0.14391693149759374,0.1614670626595752,0.8780110750785006,0.97265625,2,0.0,1.888634953012515,0.11136504698748495,1.9889936872876803,0.011006312712319666
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,retained_mean,OK,4.15460532400175,4,1.0,L,True,0.14799925046128637,0.16574289811807857,0.8783667387836875,0.97265625,2,0.0047803038691847,1.8792020379540297,0.12079796204597026,1.9889936872876803,0.011006312712319666
bridge,bridge,s9182101_g2_n0.5_b4_r1.0,9182101,2,0.5,v17_map,OK,4.1546023819973925,4,1.0,,True,0.14391693149759374,0.1614670626595752,0.8780110750785006,0.97265625,2,0.0,1.888634953012515,0.11136504698748495,1.9889936872876803,0.011006312712319666
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,identity,OK,3.484439977000875,0,0.25,,False,0.7618274858388617,0.7666246010829249,0.9654882044809133,0.7219626168224299,,,2.0485366541936685,0.04853665419366848,,
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,old_spatial36,OK,3.484444876005,0,0.25,,False,0.36516785487550624,0.41164214920278286,0.4528870099734119,0.9719626168224299,1,1.1940844786276174e-17,1.4925152881878505,0.5074847118121495,0.0,2.0
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,retained_half,OK,3.484448566006904,0,0.25,L,False,0.10365852610514022,0.12460543540046021,0.2428515253476357,0.9906542056074766,2,0.026545886243924614,1.9537681620817595,0.04623183791824048,2.1624825461464408,0.16248254614644075
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,retained_map,OK,3.484447443006502,0,0.25,L,False,0.08988428453938163,0.12508888240468233,0.28255836828796094,0.9906542056074766,2,0.0,1.9751901366625404,0.024809863337459603,2.1624825461464408,0.16248254614644075
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,retained_mean,OK,3.4844494900025893,0,0.25,L,False,0.11902168947376385,0.12859930767395872,0.22851426120491017,0.9906542056074766,2,0.05309177248784923,1.932346187500978,0.06765381249902203,2.1624825461464408,0.16248254614644075
bridge,bridge,s9182101_g2_n1.0_b0_r0.25,9182101,2,1.0,v17_map,OK,3.4844463469999027,0,0.25,,False,0.08988428453938163,0.12508888240468233,0.28255836828796094,0.9906542056074766,2,0.0,1.9751901366625404,0.024809863337459603,2.1624825461464408,0.16248254614644075
