phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm,bias,retain
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,identity,OK,0.04431198300153483,0.0,,False,1.557178460545585,1.557178460545585,1.9444735271031917,0.4283854166666667,,,,,,,,
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,old_spatial36,OK,0.0443164170064847,0.0,,False,0.048551003861653286,0.048551003861653286,0.05799065472532563,1.0,1,3.345068025756877e-18,,,,,,
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,retained_half,OK,0.04431826000654837,0.0,S,False,0.048551003861653286,0.048551003861653286,0.05799065472532563,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,retained_map,OK,0.044317665000562556,0.0,S,False,0.048551003861653286,0.048551003861653286,0.05799065472532563,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,retained_mean,OK,0.0443188060016837,0.0,S,False,0.048551003861653286,0.048551003861653286,0.05799065472532563,1.0,1,0.0,,,,,,
development,statistical,s9171151_g0_n2_l0,9171151,0.0,2.0,v17_map,OK,0.04431711399956839,0.0,,False,0.048551003861653286,0.048551003861653286,0.05799065472532563,1.0,1,3.345068025756877e-18,,,,,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,identity,OK,0.0583556139972643,0.0,,False,0.6407662551698653,0.7785892302727924,0.9722367635515958,0.7122395833333334,,,1.964950712670852,0.035049287329147916,,,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,old_spatial36,OK,0.058359902002848685,0.0,,False,0.14811694416705815,0.4423788694108547,0.8001295017580718,0.8411458333333334,2,0.0,1.2656469972381166,0.7343530027618834,1.9203117921177253,0.07968820788227471,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,retained_half,OK,0.058362058000057004,0.0,C,False,0.21405407111902988,0.4109983772302205,0.6808968027443548,0.8606770833333334,2,0.16225953883257702,1.184075862280199,0.815924137719801,1.9081519172287857,0.09184808277121426,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,retained_map,OK,0.058361461997264996,0.0,C,False,0.06868542464790665,0.3490760768709906,0.7570081632203881,0.8606770833333334,2,0.0,1.3364042580276718,0.6635957419723282,1.9081519172287857,0.09184808277121426,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,retained_mean,OK,0.05836261100193951,0.0,C,False,0.37312207368293127,0.4857770456116246,0.66763394707558,0.8606770833333334,2,0.32451907766515403,1.0317474665327262,0.9682525334672738,1.9081519172287857,0.09184808277121426,,
development,statistical,s9171151_g2_n1_l0,9171151,2.0,1.0,v17_map,OK,0.05836081199959153,0.0,,False,0.06868542464790665,0.3490760768709906,0.7570081632203881,0.8606770833333334,2,0.0,1.3364042580276718,0.6635957419723282,1.9081519172287857,0.09184808277121426,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,identity,OK,0.05710850299510639,0.5,,False,0.6317257649576332,0.7785892302727924,0.9722367635515958,0.7122395833333334,,,1.9297013077966652,0.07029869220333484,,,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,old_spatial36,OK,0.05711236699426081,0.5,,False,0.122801220284018,0.3803680165616492,0.7419041868033741,0.8541666666666666,2,0.0,1.333875751040924,0.666124248959076,1.9440699119256213,0.055930088074378714,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,retained_half,OK,0.057114206996629946,0.5,L,False,0.20985971820241445,0.3922572225567729,0.6595760941132164,0.8619791666666666,2,0.12704798183945654,1.254946583931191,0.7450534160688089,1.9183605310935818,0.08163946890641816,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,retained_map,OK,0.057113690992991906,0.5,L,False,0.1188743249561585,0.3668938061472837,0.7265245168610946,0.8619791666666666,2,0.0,1.3675847552539855,0.6324152447460145,1.9183605310935818,0.08163946890641816,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,retained_mean,OK,0.057114693998300936,0.5,L,False,0.32463213999537993,0.4421713813031649,0.6412171978014581,0.8671875,2,0.2540959636789131,1.1423084126083967,0.8576915873916033,1.9183605310935818,0.08163946890641816,,
development,statistical,s9171151_g2_n1_l0.5,9171151,2.0,1.0,v17_map,OK,0.05711313399660867,0.5,,False,0.1188743249561585,0.3668938061472837,0.7265245168610946,0.8619791666666666,2,0.0,1.3675847552539855,0.6324152447460145,1.9183605310935818,0.08163946890641816,,
