phase,kind,case,seed,gap,sigma,method,status,shared_case_seconds,dependence,selected_family,replaced_r,surface_mae_mm,balanced_source_mae_mm,matched_rms_mm,coverage_1mm,model_k,distance_to_fitted_surface_mm,source_gap_mm,source_gap_error_mm,fitted_gap_mm,fitted_gap_error_mm
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,retained_half,OK,2.488602188997902,0.0,C,False,0.5745898518744693,0.8886508137910569,1.0134927702019838,0.6106770833333334,2,0.22410914258409337,0.38671730041383434,1.6132826995861658,2.4268546522609364,0.42685465226093644
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,retained_map,OK,2.4886016949967598,0.0,C,False,0.4596636435169182,0.9759339597650711,1.1608876855110006,0.5729166666666666,2,0.0,0.3856994548194196,1.6143005451805803,2.4268546522609364,0.42685465226093644
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,retained_mean,OK,2.4886026739986846,0.0,C,False,0.6138759087338066,0.8279006968657245,0.9298245582562783,0.6875,2,0.44821828516818685,0.3877351460082493,1.6122648539917508,2.4268546522609364,0.42685465226093644
confirmation,statistical,s9181161_g2_n2_l0,9181161,2.0,2.0,v17_map,OK,2.488601175995427,0.0,,False,0.4596636435169182,0.9759339597650711,1.1608876855110006,0.5729166666666666,2,0.0,0.3856994548194196,1.6143005451805803,2.4268546522609364,0.42685465226093644
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,identity,OK,2.6978720190018066,0.5,,False,1.138100627595306,1.6058958346346324,1.9943015002635143,0.3971354166666667,,,1.9140254942500643,0.0859745057499357,,
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,old_spatial36,OK,2.6978761479986133,0.5,,False,0.6318330229256623,0.843287373419165,0.9377053678563001,0.67578125,1,4.871599886520229e-17,0.3137851101681287,1.6862148898318714,0.0,2.0
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,retained_half,OK,2.697877817998233,0.5,S,False,0.6318330229256623,0.843287373419165,0.9377053678563001,0.67578125,1,0.0,0.3137851101681287,1.6862148898318714,0.0,2.0
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,retained_map,OK,2.6978773059963714,0.5,S,False,0.6318330229256623,0.843287373419165,0.9377053678563001,0.67578125,1,0.0,0.3137851101681287,1.6862148898318714,0.0,2.0
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,retained_mean,OK,2.6978783669983386,0.5,S,False,0.6318330229256623,0.843287373419165,0.9377053678563001,0.67578125,1,0.0,0.3137851101681287,1.6862148898318714,0.0,2.0
confirmation,statistical,s9181161_g2_n2_l0.5,9181161,2.0,2.0,v17_map,OK,2.6978767850014265,0.5,,False,0.6318330229256623,0.843287373419165,0.9377053678563001,0.67578125,1,4.871599886520229e-17,0.3137851101681287,1.6862148898318714,0.0,2.0
