scene,method,n,kind,accuracy_mm,p95_mm,completeness_mm,recall,fscore,displacement_rms_mm,displacement_max_mm,moved_fraction,field,allocation,requested_budget_mm,seed,actual_budget_mean_mm,duplicate_budget_patches,uninformative_patches,max_normalization_factor,mean_gain_mm,median_gain_mm,relative_gain_percent,within_scene_patch_bootstrap_ci95_mm,wins,ties,losses,recall_difference_pp,fscore_difference
scan24,budget0.05__multiscale_full__alpha,18,budget,0.5385823945056398,1.1793869196959663,0.41041526365938674,0.9794378728724973,0.9208856239602076,0.04694994953501665,0.24291979932838625,1.0,multiscale_full,alpha,0.05,,0.046949949535016806,0,0,1.288660862532027,0.0009624914527660936,0.0003926645372334808,0.17838950526913866,"[-4.850035275664528e-05, 0.0020196943149372536]",13,0,5,-0.0450467015308758,8.7921257394874e-05
scan24,budget0.05__multiscale_full__shuffle_92401,18,budget,0.5385822739695347,1.1792666711810913,0.4106531184574168,0.9792385950795222,0.9207824834506884,0.046949949535016904,0.2903598448471683,1.0,multiscale_full,shuffle,0.05,92401,0.046949949535016806,0,0,1.192008917071875,0.0009626119888712494,0.00033933593571519594,0.1784118455986028,"[-0.00010044015870235046, 0.00204912077183968]",12,0,6,-0.06497448082837871,-1.5219252124326004e-05
scan24,budget0.05__multiscale_full__shuffle_92402,18,budget,0.5386234514392134,1.17974210523247,0.410592006857609,0.9793620123285175,0.9207874577190398,0.046949949535016876,0.2870030183036092,1.0,multiscale_full,shuffle,0.05,92402,0.046949949535016806,0,0,1.188299943079002,0.0009214345191926614,0.00036556345271614166,0.1707799560653478,"[-8.892936833576307e-05, 0.0019678233946152247]",12,0,6,-0.05263275592883433,-1.0244983772580677e-05
scan24,budget0.05__multiscale_full__shuffle_92403,18,budget,0.5385967563330744,1.179372957830185,0.41056721642586014,0.9793687123500128,0.9208441281142414,0.046949949535016834,0.2940877247858513,1.0,multiscale_full,shuffle,0.05,92403,0.046949949535016806,0,0,1.1882230772610531,0.0009481296253316735,0.0003754096064914614,0.17572766418635366,"[-7.088078223954461e-05, 0.0020041190828850165]",12,0,6,-0.05196275377931535,4.642541142885204e-05
scan24,budget0.05__multiscale_full__shuffle_92404,18,budget,0.5385687810949362,1.1784453899907987,0.410566736348698,0.97928367322341,0.9207624839839492,0.046949949535016904,0.29413528879951656,1.0,multiscale_full,shuffle,0.05,92404,0.046949949535016806,0,0,1.1948988990656582,0.0009761048634697564,0.0004011952985060324,0.18091263375351607,"[-2.766247884905371e-05, 0.0020159334194578614]",12,0,6,-0.0604666664395971,-3.5218718863299576e-05
scan24,budget0.05__multiscale_full__shuffle_92405,18,budget,0.538595898642886,1.1792124368279724,0.41056460726956945,0.9793182850445663,0.9207800664979585,0.04694994953501676,0.2947406219517241,1.0,multiscale_full,shuffle,0.05,92405,0.046949949535016806,0,0,1.1833261418114656,0.0009489873155199619,0.0004698307532855911,0.1758866296794337,"[-7.668144329485916e-05, 0.0019969263348756025]",11,0,7,-0.05700548432396375,-1.7636204854090368e-05
scan24,budget0.05__multiscale_full__uniform,18,budget,0.5386240726229379,1.179286155835931,0.4106810103520957,0.9793250250545067,0.9208221593811613,0.04694994953501685,0.2835904562089471,1.0,multiscale_full,uniform,0.05,,0.046949949535016806,0,0,1.0,0.0009208133354681196,0.00038044293736889945,0.1706648250094034,"[-0.00010650707011010522, 0.001985531066891546]",12,0,6,-0.05633148332993307,2.445667834858704e-05
scan24,budget0.05__quadratic64__uniform,18,budget,0.5385587493450388,1.1794215917126076,0.41057266457942176,0.9792989616020075,0.9207710143949939,0.046949949535016626,0.27922303685618793,1.0,quadratic64,uniform,0.05,,0.046949949535016806,0,0,1.0,0.000986136613367286,0.0007627506768977665,0.18277193223980026,"[0.00019555145121835069, 0.0018152451586827387]",13,0,5,-0.05893782857983957,-2.668830781868106e-05
scan24,budget0.1__local_plane64__uniform,18,budget,0.5390804973484619,1.1803201368257237,0.4125625866236675,0.9784828251551176,0.9203502849775373,0.061029719659751826,0.4132052994261772,1.0,local_plane64,uniform,0.1,,0.06102971965975189,6,0,0.8403145841524738,0.00046438860994410373,0.0008568743404783891,0.08607043121523494,"[-0.0026003932859181003, 0.0037755355501214107]",10,0,8,-0.14055147326883694,-0.0004474177252752096
scan24,budget0.1__multiscale_full__alpha,18,budget,0.5383756540668478,1.1781719459852675,0.410999714454644,0.9793162725921793,0.9207642930871209,0.06102971965975211,0.3514739344854231,1.0,multiscale_full,alpha,0.1,,0.06102971965975189,6,0,1.735237452656853,0.0011692318915582011,0.0004734327194117621,0.21670706589707045,"[-0.00020437424681847034, 0.002664608577379368]",12,0,6,-0.05720672956265882,-3.3409615691679414e-05
