key,fbig,calibration,arm,subset,n,weighted_delta
confirmation_seed702_fbig0.10_exch,0.1,exch,identity,twosheet_back,1000,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,identity,twosheet_front,1000,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,test_projection,base,15425,0.019221862474627
confirmation_seed702_fbig0.10_exch,0.1,exch,test_projection,big,2035,-0.2823461353687424
confirmation_seed702_fbig0.10_exch,0.1,exch,test_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,test_projection,twosheet_back,1000,0.16738834017906767
confirmation_seed702_fbig0.10_exch,0.1,exch,test_projection,twosheet_front,1000,0.00018641857529605148
confirmation_seed702_fbig0.10_exch,0.1,exch,test_veto_projection,base,15425,-0.0026195735425572175
confirmation_seed702_fbig0.10_exch,0.1,exch,test_veto_projection,big,2035,-0.1443416536811886
confirmation_seed702_fbig0.10_exch,0.1,exch,test_veto_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,test_veto_projection,twosheet_back,1000,0.023164956454100247
confirmation_seed702_fbig0.10_exch,0.1,exch,test_veto_projection,twosheet_front,1000,-0.00016029734324151025
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_projection,base,15425,0.0014598031126073611
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_projection,big,2035,-0.25029266860914734
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_projection,twosheet_back,1000,0.048351255711805825
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_projection,twosheet_front,1000,0.00018641857529605148
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_argmin,base,15425,0.005196931587552554
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_argmin,big,2035,-0.2641121883342995
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_argmin,misfit,540,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_argmin,twosheet_back,1000,0.05278970503052738
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor1_argmin,twosheet_front,1000,0.0004317830418338019
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor2_projection,base,15425,-0.0013353866240868836
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor2_projection,big,2035,-0.2251715756874356
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor2_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor2_projection,twosheet_back,1000,0.035377407345632154
confirmation_seed702_fbig0.10_exch,0.1,exch,anchor2_projection,twosheet_front,1000,-0.0001960736856715255
confirmation_seed702_fbig0.10_sfm,0.1,sfm,identity,base,15425,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,identity,big,2035,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,identity,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,identity,twosheet_back,1000,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,identity,twosheet_front,1000,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_projection,base,15425,0.29841497382124926
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_projection,big,2035,-0.3267136282086911
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_projection,misfit,540,0.0
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_projection,twosheet_back,1000,0.21276081077685868
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_projection,twosheet_front,1000,0.014875324467412833
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_veto_projection,base,15425,-0.006791461583239766
confirmation_seed702_fbig0.10_sfm,0.1,sfm,test_veto_projection,big,2035,-0.14101556260665224
