key,phase,seed,fbig,calibration,arm,group,n,moved,harm_count,benefit_count,move_rate,harm_rate,harm_among_moved,harm_sum,gain_sum,harm_p95_moved,mae,rmse,identity_mae,delta_mae,weighted_delta,half_error_rate
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,base:mm,2646,2,2,0,0.0007558578987150416,0.0007558578987150416,1.0,7.677151187863917,0.0,3.8605083501304454,0.16540769113330292,0.23101534613800853,0.16250627345081464,0.002901417682488253,0.00038385755939319586,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,base:single,14620,1446,259,1187,0.09890560875512996,0.01771545827633379,0.17911479944674966,65.91992396274453,200.6032467255046,0.16476904842740303,0.1503073128307204,0.24735915921742913,0.1595195784095686,-0.009212265578848156,-0.0067341661381380025,0.053830369357045146
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,big,194,60,1,59,0.30927835051546393,0.005154639175257732,0.016666666666666666,3.26199185922615,289.05038331485855,0.0,3.4762829858896755,4.316778161372192,4.949419024320771,-1.4731360384310952,-0.014289419572781622,0.30412371134020616
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,big:mm,29,0,0,0,0.0,0.0,,0.0,0.0,,4.298969464642176,4.565653195215828,4.298969464642176,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,big:single,165,60,1,59,0.36363636363636365,0.006060606060606061,0.016666666666666666,3.26199185922615,289.0503833148586,0.0,3.331689604775599,4.271538515579055,5.063740462082463,-1.7320508573068634,-0.014289419572781622,0.3575757575757576
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,misfit,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,misfit:single,540,0,0,0,0.0,0.0,,0.0,0.0,,0.1605468646992257,0.1989899490440534,0.1605468646992257,0.0,0.0,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,twosheet_back,1000,69,69,0,0.069,0.069,1.0,382.12661156748163,0.0,5.931211679327112,0.5425792457918833,1.5149238129356017,0.16045263422440179,0.3821266115674816,0.019106330578374082,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,twosheet_back:single,1000,69,69,0,0.069,0.069,1.0,382.12661156748163,0.0,5.931211679327112,0.5425792457918833,1.5149238129356017,0.16045263422440179,0.3821266115674816,0.019106330578374082,0.0
confirmation_seed703_fbig0.01_sfm,confirmation,703,0.01,sfm,test_veto_projection,twosheet_front,1000,100,20,80,0.1,0.02,0.2,2.8358718135828553,13.092411730422155,0.17095302796932726,0.14291759588817426,0.18120163021260266,0.15317413580501357,-0.010256539916839297,-0.0005128269958419649,0.052
