case,method,ok,seconds,sigma_mm,n_points,n_stations,error,independent_real_quality,output_finite,output_n,identifiable,k_method,note,false_split,false_merge,gap_err_mm,surface_err_mm,coverage,layer_match_failed,k_info,split,family,seed,gap_mm,bias_rms_mm,noise_protocol,k_hat,n_true_layers,patch_id,scene,perturbation,perturb_seed,actual_point_delta_rms_mm,recovery_vs_unperturbed_input_rms_mm,stability_vs_own_unperturbed_output_rms_mm,recovery_note,stability_note
dual_g8_s912101_b4,identity,True,0.00027293300081510097,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.10086142688779454,4.0843839731967515,1.0,False,,synthetic_exact,true_bilayer,912101,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b4,xyz_mixture,True,0.005573442998866085,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.09601362589045692,4.093927163752575,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b4,fast,True,0.004869195996434428,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.001171912067541,3.5157669112269323,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912101_b4,open3d_icp_then_xyz,True,0.01182397099910304,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.061195957798959,3.5182868445546696,1.0,False,2,synthetic_exact,true_bilayer,912101,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b0,identity,True,0.00028123800439061597,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,4.2159289893721485,3.891602132508055,1.0,False,,synthetic_exact,true_bilayer,912113,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b0,xyz_mixture,True,0.011895898998773191,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.2716046631876115,3.7921377231156947,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b0,fast,True,0.005165263995877467,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.094992888048975,3.7915295682421966,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b0,open3d_icp_then_xyz,True,0.012544737997814082,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.254940253765286,3.7687682930602255,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b4,identity,True,0.0002982299993163906,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.3950588672959263,3.5345934463058617,1.0,False,,synthetic_exact,true_bilayer,912113,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b4,xyz_mixture,True,0.010134830001334194,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.3599577618297305,3.3859618760222365,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b4,fast,True,0.005046519996540155,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.10189136882811,3.852805793875011,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912113_b4,open3d_icp_then_xyz,True,0.013078393996693194,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.237856972632635,3.7546147294540733,1.0,False,2,synthetic_exact,true_bilayer,912113,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b0,identity,True,0.00026828700356418267,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,4.049397963237119,3.732511320427511,1.0,False,,synthetic_exact,true_bilayer,912127,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b0,xyz_mixture,True,0.010673712997231632,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.081258293754933,3.652875459691942,1.0,False,2,synthetic_exact,true_bilayer,912127,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b0,fast,True,0.004927219000819605,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,3.956792783542671,3.5893617670785494,1.0,False,2,synthetic_exact,true_bilayer,912127,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b0,open3d_icp_then_xyz,True,0.010963214001094457,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,4.053837619511422,3.660199428896049,1.0,False,2,synthetic_exact,true_bilayer,912127,8.0,0.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b4,identity,True,0.0003020060030394234,1.0,768,8,,本轮尚未测得,True,768,True,,,0,0,0.09102704357943381,4.484012667905951,1.0,False,,synthetic_exact,true_bilayer,912127,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b4,xyz_mixture,True,0.010226384998532012,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,0.07125570331822395,4.584510765760263,1.0,False,2,synthetic_exact,true_bilayer,912127,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
dual_g8_s912127_b4,fast,True,0.005019687996536959,1.0,768,8,,本轮尚未测得,True,768,True,2,,0,0,3.9490800805877564,3.625500892866842,1.0,False,2,synthetic_exact,true_bilayer,912127,8.0,4.0,supplied-noise sigma=1 mm,2,2,,,,,,,,,
