case,goal_id,family,goal_mask,method,budget,allowed_bits,costs,removed_bit,error,error_count,mean_query_cost,max_query_cost,mean_query_count,runtime_seconds,counts
missing_sensor,mux_01,multiplexer,6939,open_loop,4,1|2|3,1|1|1|1,0,0.25,4,1.0,1,1.0,2.2694999643135816e-05,"{""subsets_evaluated"": 8, ""terminal_evaluations"": 27, ""tree_nodes"": 46}"
missing_sensor,mux_01,multiplexer,6939,fixed_prefix,4,1|2|3,1|1|1|1,0,0.25,4,3.0,3,3.0,8.644999979878776e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 8, ""tree_nodes"": 15}"
primary,mux_02,multiplexer,60996,adaptive,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,8.383000022149645e-06,"{""cache_hits"": 0, ""query_candidates"": 0, ""states"": 1, ""terminal_evaluations"": 1}"
primary,mux_02,multiplexer,60996,open_loop,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,9.246999979950488e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_02,multiplexer,60996,fixed_prefix,0,0|1|2|3,1|1|1|1,,0.5,8,0.0,0,0.0,4.425000952323899e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 1, ""tree_nodes"": 1}"
primary,mux_02,multiplexer,60996,adaptive,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.4815999747952446e-05,"{""cache_hits"": 0, ""query_candidates"": 4, ""states"": 9, ""terminal_evaluations"": 9}"
primary,mux_02,multiplexer,60996,open_loop,1,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,1.398799940943718e-05,"{""subsets_evaluated"": 5, ""terminal_evaluations"": 9, ""tree_nodes"": 13}"
primary,mux_02,multiplexer,60996,fixed_prefix,1,0|1|2|3,1|1|1|1,,0.5,8,1.0,1,1.0,5.600000804406591e-06,"{""subsets_evaluated"": 1, ""terminal_evaluations"": 2, ""tree_nodes"": 3}"
primary,mux_02,multiplexer,60996,adaptive,2,0|1|2|3,1|1|1|1,,0.0,0,2.0,2,2.0,4.3001000449294224e-05,"{""cache_hits"": 24, ""query_candidates"": 28, ""states"": 33, ""terminal_evaluations"": 33}"
primary,mux_02,multiplexer,60996,open_loop,2,0|1|2|3,1|1|1|1,,0.25,4,1.0,1,1.0,2.5736000679899007e-05,"{""subsets_evaluated"": 11, ""terminal_evaluations"": 33, ""tree_nodes"": 55}"
