case,goal_id,method,budget,world,truth,guess,error,queried_bits,observations,total_cost
nonunit_costs,mux_00,adaptive,3,4,0,0,0,0|1,0|0,3
nonunit_costs,mux_00,adaptive,3,5,1,0,1,0,1,1
nonunit_costs,mux_00,adaptive,3,6,1,1,0,0|1,0|1,3
nonunit_costs,mux_00,adaptive,3,7,1,0,1,0,1,1
nonunit_costs,mux_00,adaptive,3,8,0,0,0,0|1,0|0,3
nonunit_costs,mux_00,adaptive,3,9,0,0,0,0,1,1
nonunit_costs,mux_00,adaptive,3,10,1,1,0,0|1,0|1,3
nonunit_costs,mux_00,adaptive,3,11,0,0,0,0,1,1
nonunit_costs,mux_00,adaptive,3,12,0,0,0,0|1,0|0,3
nonunit_costs,mux_00,adaptive,3,13,1,0,1,0,1,1
nonunit_costs,mux_00,adaptive,3,14,1,1,0,0|1,0|1,3
nonunit_costs,mux_00,adaptive,3,15,1,0,1,0,1,1
nonunit_costs,mux_00,open_loop,3,0,0,0,0,1,0,2
nonunit_costs,mux_00,open_loop,3,1,0,0,0,1,0,2
nonunit_costs,mux_00,open_loop,3,2,1,1,0,1,1,2
nonunit_costs,mux_00,open_loop,3,3,0,1,1,1,1,2
nonunit_costs,mux_00,open_loop,3,4,0,0,0,1,0,2
nonunit_costs,mux_00,open_loop,3,5,1,0,1,1,0,2
nonunit_costs,mux_00,open_loop,3,6,1,1,0,1,1,2
nonunit_costs,mux_00,open_loop,3,7,1,1,0,1,1,2
nonunit_costs,mux_00,open_loop,3,8,0,0,0,1,0,2
